Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Bazzani, Miss. Albina",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374455648
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,1,1,0,0,0,0,0,1,1,0,0,0,0.747560880971972
"Andrews, Miss. Kornelia Theodosia",1,1,0,0,0,0,0,0,1,0,1,0,1,0.8053056864691535
"Montvila, Rev. Juozas",0,0,1,0,0,0,1,0,0,0,0,1,0,0.26493170716764375
"Endres, Miss. Caroline Louise",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374455648
"Newell, Mr. Arthur Webster",0,0,0,0,1,0,0,0,1,0,0,0,0,0.41124769235191105
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4828562046316746
"Connors, Mr. Patrick",0,0,0,1,0,1,0,0,1,0,0,0,0,0.038955334496643915
"Moor, Master. Meier",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073565399
"McKane, Mr. Peter David",0,0,1,0,0,0,0,0,1,0,0,0,0,0.12920634689065538
"Hakkarainen, Mr. Pekka Pietari",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549838765
"Waelens, Mr. Achille",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Nakid, Mr. Sahid",1,0,0,1,1,0,0,0,0,0,0,0,1,0.1445526997249269
"Nicola-Yarred, Miss. Jamila",1,1,0,1,1,0,0,0,0,0,1,0,1,0.646507621811356
"Andreasson, Mr. Paul Edvin",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Mellors, Mr. William John",0,0,1,0,0,0,0,0,0,0,0,0,1,0.35167076470238795
"Lesurer, Mr. Gustave J",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5742187759421644
"Goodwin, Master. William Frederick",5,0,0,1,0,0,0,0,0,0,0,0,0,0.03544173405805825
"Johnson, Mr. Malkolm Joackim",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901384266
"Chaffee, Mr. Herbert Fuller",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912354115
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,0,0,0,0,0,0,1,1,0,0,1,0.884088253151148
"Strandberg, Miss. Ida Sofia",0,1,0,1,0,0,1,0,0,0,1,0,0,0.5062806579296909
"Albimona, Mr. Nassef Cassem",0,0,0,1,1,0,1,0,0,0,0,0,1,0.11294129408056457
"Karun, Miss. Manca",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413017208
"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,0,0,0,0,0,1,1,0,0,1,0.912079458299145
"Carr, Miss. Helen ""Ellen""",0,1,0,1,0,1,0,0,0,0,1,0,1,0.6159491233529579
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,1,0,1,0,0,0,0,1,1,0,0,0,0.559458271771873
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.747560880971972
"Wilhelms, Mr. Charles",0,0,1,0,0,0,0,1,0,0,0,0,1,0.2226828909181303
"Moor, Mrs. (Beila)",0,1,0,1,0,0,1,0,0,1,0,0,1,0.720033212423653
"Panula, Mr. Ernesti Arvid",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04759718996821087
"Ayoub, Miss. Banoura",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413017208
"Hocking, Mrs. Elizabeth (Eliza Needs)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.747560880971972
"Walker, Mr. William Anderson",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193417306
"Palsson, Master. Gosta Leonard",3,0,0,1,0,0,0,0,0,0,0,0,0,0.06364651479151277
"Gaskell, Mr. Alfred",0,0,1,0,0,0,0,0,0,0,0,0,0,0.35167076470238795
"Gustafsson, Mr. Karl Gideon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073565399
"Vande Walle, Mr. Nestor Cyriel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116454598
"Hunt, Mr. George Henry",0,0,1,0,0,0,0,1,0,0,0,0,0,0.2226828909181303
"Goldsmith, Master. Frank John William ""Frankie""",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073565399
"Barbara, Mrs. (Catherine David)",0,1,0,1,1,0,0,0,1,1,0,0,0,0.6305321053175188
"Rugg, Miss. Emily",0,1,1,0,0,0,1,0,0,0,1,0,1,0.7648348091956078
"Futrelle, Mr. Jacques Heath",1,0,0,0,0,0,0,1,0,0,0,0,0,0.4245756694526081
"Doling, Miss. Elsie",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8544576925222084
"Bing, Mr. Lee",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08284178901384266
